timestamp;queue_length
1789419364222;1
1789419364223;0
1789419364914;1
1789419364914;0
1789419365072;1
1789419365072;0
1789419365517;1
1789419365517;0
1789419365672;1
1789419365672;0
1789419365715;1
1789419365715;0
1789419365775;1
1789419365775;0
1789419365821;1
1789419365821;0
1789419366115;1
1789419366115;0
1789419367071;1
1789419367071;0
1789419367317;1
1789419367317;0
1789419367372;1
1789419367372;0
1789419367975;1
1789419367975;0
1789419368424;1
1789419368424;0
1789419368466;1
1789419368466;0
1789419368523;1
1789419368523;0
1789419368965;1
1789419368965;0
1789419369267;1
1789419369267;0
1789419369374;1
1789419369374;0
1789419369423;1
1789419369423;0
1789419369456;1
1789419369456;0
1789419371225;1
1789419371225;0
1789419372124;1
1789419372124;0
1789419372165;1
1789419372165;0
1789419372315;1
1789419372315;0
1789419373112;1
1789419373112;0
1789419373519;1
1789419373519;0
1789419373571;1
1789419373571;0
1789419374062;1
1789419374062;0
1789419374117;1
1789419374117;0
1789419374174;1
1789419374174;0
1789419374265;1
1789419374265;0
1789419374310;1
1789419374310;0
1789419374374;1
1789419374374;0
1789419374667;1
1789419374667;0
1789419374924;1
1789419374924;0
1789419374965;1
1789419374965;0
1789419375365;1
1789419375366;0
1789419376124;1
1789419376124;0
1789419376164;1
1789419376164;0
1789419376221;1
1789419376221;0
1789419376274;1
1789419376274;0
1789419377124;1
1789419377124;0
1789419377165;1
1789419377165;0
1789419377216;1
1789419377216;0
1789419378074;1
1789419378074;0
1789419378113;0
1789419378113;1
1789419378164;1
1789419378164;0
1789419378217;1
1789419378217;0
1789419378967;1
1789419378967;0
1789419380174;1
1789419380174;0
1789419380214;1
1789419380214;0
1789419380420;1
1789419380420;0
1789419380462;1
1789419380462;0
1789419380524;1
1789419380524;0
1789419380565;1
1789419380565;0
1789419381315;1
1789419381315;0
1789419382222;1
1789419382223;0
1789419382269;1
1789419382269;0
1789419382514;1
1789419382514;0
1789419383019;1
1789419383019;0
1789419383067;1
1789419383067;0
1789419383175;1
1789419383175;0
1789419383211;1
1789419383211;0
1789419384072;1
1789419384072;0
1789419384124;1
1789419384124;0
1789419384174;1
1789419384174;0
1789419384461;1
1789419384461;0
1789419385165;1
1789419385165;0
1789419385220;1
1789419385220;0
1789419385267;1
1789419385267;0
1789419385324;1
1789419385324;0
1789419386019;1
1789419386019;0
1789419386066;1
1789419386066;0
1789419386118;1
1789419386118;0
1789419386170;1
1789419386170;0
1789419386223;1
1789419386223;0
1789419386265;1
1789419386265;0
1789419386314;1
1789419386314;0
1789419386575;1
1789419386575;0
1789419386775;1
1789419386775;0
1789419386807;1
1789419386807;0
1789419386871;1
1789419386871;0
1789419386919;1
1789419386919;0
1789419386965;1
1789419386965;0
1789419388715;1
1789419388715;0
1789419388765;1
1789419388765;0
1789419389418;1
1789419389418;0
1789419389868;1
1789419389868;0
1789419390113;1
1789419390113;0
1789419390568;1
1789419390568;0
1789419390815;0
1789419390815;1
1789419391318;1
1789419391318;0
1789419392065;1
1789419392065;0
1789419392124;1
1789419392124;0
1789419392615;1
1789419392615;0
1789419392774;1
1789419392774;0
1789419392824;1
1789419392824;0
1789419392865;1
1789419392865;0
1789419392925;1
1789419392925;0
1789419393019;1
1789419393019;0
1789419393274;1
1789419393274;0
1789419393324;1
1789419393324;0
1789419393365;1
1789419393365;0
1789419393574;1
1789419393574;0
1789419394024;1
1789419394024;0
1789419394175;1
1789419394175;0
1789419394573;1
1789419394573;0
1789419394624;1
1789419394624;0
1789419394674;1
1789419394674;0
1789419394724;1
1789419394724;0
1789419394765;1
1789419394765;0
1789419394815;1
1789419394815;0
1789419395375;1
1789419395375;0
1789419395425;1
1789419395425;0
1789419395523;1
1789419395523;0
1789419395824;1
1789419395824;0
1789419396425;1
1789419396425;0
1789419396475;1
1789419396475;0
1789419396925;1
1789419396925;0
1789419396976;1
1789419396976;0
1789419397724;1
1789419397724;0
1789419397974;1
1789419397974;0
1789419398024;1
1789419398024;0
1789419398066;1
1789419398066;0
1789419398124;1
1789419398124;0
1789419398324;1
1789419398324;0
1789419398475;1
1789419398475;0
1789419398525;1
1789419398525;0
1789419398575;1
1789419398575;0
1789419398616;1
1789419398617;0
1789419399274;1
1789419399274;0
1789419399624;1
1789419399624;0
1789419399714;1
1789419399714;0
1789419400074;1
1789419400074;0
1789419400274;1
1789419400274;0
1789419400324;1
1789419400324;0
1789419400374;1
1789419400374;0
1789419400414;1
1789419400414;0
1789419400474;1
1789419400474;0
1789419400524;1
1789419400524;0
1789419400615;1
1789419400615;0
1789419400824;1
1789419400824;0
1789419401274;1
1789419401274;0
1789419401519;1
1789419401519;0
1789419402125;1
1789419402125;0
1789419403725;1
1789419403725;0
1789419403775;1
1789419403775;0
1789419403825;1
1789419403825;0
1789419403875;1
1789419403875;0
1789419404174;1
1789419404174;0
1789419404224;1
1789419404224;0
1789419404274;1
1789419404274;0
1789419404317;1
1789419404317;0
1789419404365;1
1789419404365;0
1789419404468;1
1789419404468;0
1789419404675;1
1789419404675;0
1789419404725;1
1789419404725;0
1789419404775;1
1789419404775;0
1789419404825;1
1789419404825;0
1789419406324;1
1789419406324;0
1789419406875;1
1789419406875;0
1789419407024;1
1789419407024;0
1789419407065;1
1789419407065;0
1789419407125;1
1789419407125;0
1789419407169;1
1789419407169;0
1789419407824;1
1789419407824;0
1789419408224;1
1789419408224;0
1789419408274;1
1789419408274;0
1789419408815;1
1789419408815;0
1789419409115;1
1789419409115;0
1789419410073;1
1789419410073;0
1789419410215;1
1789419410215;0
1789419410274;1
1789419410274;0
1789419410674;1
1789419410674;0
1789419411175;1
1789419411175;0
1789419411215;1
1789419411215;0
1789419412025;1
1789419412025;0
1789419412075;1
1789419412075;0
1789419412424;1
1789419412424;0
1789419413525;1
1789419413525;0
1789419413567;1
1789419413567;0
1789419413675;1
1789419413675;0
1789419413721;1
1789419413721;0
1789419413774;1
1789419413774;0
1789419413824;1
1789419413824;0
1789419414565;1
1789419414565;0
1789419414925;1
1789419414925;0
1789419415072;1
1789419415072;0
1789419416022;1
1789419416022;0
1789419416224;1
1789419416224;0
1789419416774;1
1789419416774;0
1789419418425;1
1789419418425;0
1789419418475;1
1789419418475;0
1789419418515;1
1789419418515;0
1789419418568;1
1789419418568;0
1789419418775;1
1789419418775;0
1789419418824;1
1789419418824;0
1789419419624;1
1789419419624;0
1789419420175;1
1789419420175;0
1789419421115;1
1789419421115;0
1789419421174;1
1789419421174;0
1789419421274;1
1789419421274;0
1789419421315;1
1789419421315;0
1789419421376;1
1789419421376;0
1789419421425;1
1789419421425;0
1789419421515;1
1789419421515;0
1789419421574;1
1789419421574;0
1789419421925;1
1789419421925;0
1789419422174;1
1789419422174;0
1789419422865;1
1789419422865;0
1789419423075;1
1789419423075;0
1789419423175;1
1789419423175;0
1789419423215;1
1789419423215;0
1789419423274;1
1789419423274;0
1789419423323;1
1789419423323;0
1789419423374;1
1789419423374;0
1789419423475;1
1789419423475;0
1789419424024;1
1789419424024;0
1789419424474;1
1789419424474;0
1789419424515;1
1789419424515;0
1789419425275;1
1789419425275;0
1789419425769;1
1789419425769;0
1789419425824;1
1789419425824;0
1789419426465;1
1789419426465;0
1789419427425;1
1789419427425;0
1789419427674;1
1789419427674;0
1789419427724;1
1789419427724;0
1789419429124;1
1789419429124;0
1789419429675;1
