timestamp;queue_length
1789419904285;1
1789419904285;0
1789419904566;1
1789419904566;0
1789419904619;1
1789419904619;0
1789419904807;1
1789419904807;0
1789419904867;1
1789419904867;0
1789419904887;1
1789419904888;0
1789419904908;1
1789419904908;0
1789419904927;1
1789419904927;0
1789419905047;1
1789419905047;0
1789419905419;1
1789419905419;0
1789419905527;1
1789419905527;0
1789419905548;1
1789419905552;0
1789419905787;1
1789419905787;0
1789419905968;1
1789419905968;0
1789419905987;1
1789419905989;0
1789419906007;1
1789419906007;0
1789419906187;1
1789419906187;0
1789419906307;1
1789419906307;0
1789419906348;1
1789419906348;0
1789419906367;1
1789419906367;0
1789419906377;1
1789419906377;0
1789419907087;1
1789419907087;0
1789419907448;1
1789419907448;0
1789419907465;1
1789419907467;0
1789419907517;1
1789419907517;0
1789419907847;0
1789419907847;1
1789419908007;1
1789419908007;0
1789419908017;1
1789419908027;0
1789419908228;1
1789419908228;0
1789419908240;1
1789419908252;0
1789419908267;1
1789419908273;0
1789419908308;1
1789419908308;0
1789419908327;1
1789419908327;0
1789419908345;1
1789419908345;0
1789419908457;1
1789419908457;0
1789419908567;1
1789419908567;0
1789419908578;1
1789419908594;0
1789419908740;1
1789419908740;0
1789419909047;1
1789419909047;0
1789419909068;1
1789419909070;0
1789419909087;1
1789419909087;0
1789419909107;1
1789419909107;0
1789419909447;1
1789419909447;0
1789419909457;1
1789419909471;0
1789419909488;1
1789419909488;0
1789419909823;1
1789419909823;0
1789419909845;1
1789419909847;0
1789419909868;1
1789419909868;0
1789419909881;1
1789419909881;0
1789419910187;1
1789419910188;0
1789419910667;1
1789419910667;0
1789419910688;1
1789419910688;0
1789419910767;1
1789419910767;0
1789419910787;1
1789419910790;0
1789419910808;1
1789419910808;0
1789419910828;1
1789419910828;0
1789419911127;1
1789419911127;0
1789419911486;1
1789419911486;0
1789419911507;1
1789419911507;0
1789419911607;1
1789419911607;0
1789419911797;1
1789419911797;0
1789419911828;1
1789419911828;0
1789419911867;1
1789419911867;0
1789419911888;1
1789419911893;0
1789419912227;1
1789419912227;0
1789419912248;1
1789419912248;0
1789419912267;1
1789419912267;0
1789419912386;1
1789419912386;0
1789419912667;1
1789419912667;0
1789419912688;1
1789419912688;0
1789419912707;1
1789419912707;0
1789419912727;1
1789419912727;0
1789419913007;1
1789419913007;0
1789419913027;1
1789419913031;0
1789419913048;1
1789419913053;0
1789419913062;1
1789419913073;0
1789419913090;1
1789419913090;0
1789419913105;1
1789419913105;0
1789419913127;1
1789419913127;0
1789419913227;1
1789419913227;0
1789419913308;1
1789419913308;0
1789419913328;1
1789419913328;0
1789419913347;1
1789419913347;0
1789419913367;1
1789419913367;0
1789419913388;1
1789419913388;0
1789419914086;1
1789419914086;0
1789419914108;1
1789419914116;0
1789419914367;1
1789419914367;0
1789419914546;1
1789419914546;0
1789419914647;1
1789419914647;0
1789419914822;1
1789419914822;0
1789419914930;1
1789419914930;0
1789419915128;1
1789419915128;0
1789419915428;1
1789419915428;0
1789419915443;1
1789419915452;0
1789419915647;1
1789419915647;0
1789419915703;1
1789419915703;0
1789419915727;1
1789419915727;0
1789419915745;1
1789419915745;0
1789419915769;1
1789419915769;0
1789419915808;1
1789419915808;0
1789419915907;1
1789419915907;0
1789419915927;1
1789419915927;0
1789419915948;1
1789419915948;0
1789419916027;1
1789419916027;0
1789419916207;1
1789419916207;0
1789419916258;1
1789419916258;0
1789419916427;1
1789419916427;0
1789419916448;1
1789419916448;0
1789419916467;1
1789419916467;0
1789419916487;1
1789419916487;0
1789419916508;1
1789419916508;0
1789419916527;1
1789419916527;0
1789419916747;1
1789419916747;0
1789419916758;1
1789419916770;0
1789419916807;1
1789419916807;0
1789419916928;1
1789419916928;0
1789419917161;1
1789419917161;0
1789419917184;1
1789419917184;0
1789419917365;1
1789419917365;0
1789419917379;1
1789419917379;0
1789419917676;1
1789419917676;0
1789419917788;1
1789419917788;0
1789419917807;1
1789419917807;0
1789419917816;1
1789419917816;0
1789419917848;1
1789419917848;0
1789419917928;1
1789419917928;0
1789419917988;1
1789419917988;0
1789419918007;1
1789419918013;0
1789419918020;1
1789419918020;0
1789419918048;1
1789419918048;0
1789419918308;1
1789419918308;0
1789419918447;1
1789419918447;0
1789419918488;1
1789419918488;0
1789419918628;1
1789419918628;0
1789419918707;1
1789419918707;0
1789419918719;1
1789419918719;0
1789419918748;1
1789419918748;0
1789419918762;1
1789419918773;0
1789419918787;1
