timestamp;queue_length
1789419363522;1
1789419363522;0
1789419363761;1
1789419363761;0
1789419363965;1
1789419363965;0
1789419364025;0
1789419364024;1
1789419364065;1
1789419364065;0
1789419364159;1
1789419364159;0
1789419364273;1
1789419364273;0
1789419364318;1
1789419364318;0
1789419364375;1
1789419364375;0
1789419364424;1
1789419364424;0
1789419364464;1
1789419364465;0
1789419364515;1
1789419364515;0
1789419364715;1
1789419364715;0
1789419365122;1
1789419365122;0
1789419365574;1
1789419365574;0
1789419365618;1
1789419365618;0
1789419366022;1
1789419366022;0
1789419366522;1
1789419366522;0
1789419366565;1
1789419366565;0
1789419366869;1
1789419366869;0
1789419366924;1
1789419366924;0
1789419366965;1
1789419366965;0
1789419367568;1
1789419367568;0
1789419367765;1
1789419367765;0
1789419368322;1
1789419368322;0
1789419368761;1
1789419368761;0
1789419368815;1
1789419368815;0
1789419368919;1
1789419368919;0
1789419369015;1
1789419369015;0
1789419369058;0
1789419369058;1
1789419369122;1
1789419369122;0
1789419369174;1
1789419369174;0
1789419369875;1
1789419369875;0
1789419369922;1
1789419369922;0
1789419369971;1
1789419369971;0
1789419370020;1
1789419370020;0
1789419370075;1
1789419370075;0
1789419370122;1
1789419370122;0
1789419370172;1
1789419370172;0
1789419370411;1
1789419370411;0
1789419370624;1
1789419370624;0
1789419370919;1
1789419370919;0
1789419370972;1
1789419370972;0
1789419371021;1
1789419371021;0
1789419371064;1
1789419371064;0
1789419371574;1
1789419371574;0
1789419371857;1
1789419371857;0
1789419371925;1
1789419371925;0
1789419371975;1
1789419371975;0
1789419372015;1
1789419372015;0
1789419372073;1
1789419372073;0
1789419372372;1
1789419372372;0
1789419372424;1
1789419372424;0
1789419372462;1
1789419372463;0
1789419372567;1
1789419372567;0
1789419372615;1
1789419372615;0
1789419373624;1
1789419373624;0
1789419373669;1
1789419373669;0
1789419374024;1
1789419374024;0
1789419374615;1
1789419374615;0
1789419375157;1
1789419375157;0
1789419375215;1
1789419375215;0
1789419375271;1
1789419375271;0
1789419375306;1
1789419375306;0
1789419375515;1
1789419375515;0
1789419376372;1
1789419376372;0
1789419376415;1
1789419376415;0
1789419376823;1
1789419376823;0
1789419377275;1
1789419377275;0
1789419377467;1
1789419377467;0
1789419377820;1
1789419377820;0
1789419378718;1
1789419378718;0
1789419379817;1
1789419379817;0
1789419379870;1
1789419379870;0
1789419379922;1
1789419379922;0
1789419379966;1
1789419379966;0
1789419380015;1
1789419380015;0
1789419380065;1
1789419380065;0
1789419380274;1
1789419380274;0
1789419381073;1
1789419381073;0
1789419381365;1
1789419381365;0
1789419381416;1
1789419381416;0
1789419381472;1
1789419381472;0
1789419381511;1
1789419381511;0
1789419381572;1
1789419381572;0
1789419381624;1
1789419381624;0
1789419381820;1
1789419381820;0
