timestamp;queue_length
1789419904584;1
1789419904584;0
1789419904609;1
1789419904609;0
1789419904661;1
1789419904661;0
1789419904787;1
1789419904788;0
1789419904968;1
1789419904968;0
1789419904987;1
1789419904987;0
1789419905028;1
1789419905028;0
1789419905066;1
1789419905066;0
1789419905088;1
1789419905088;0
1789419905107;1
1789419905108;0
1789419905127;1
1789419905127;0
1789419905267;1
1789419905267;0
1789419905288;1
1789419905288;0
1789419905307;1
1789419905307;0
1789419905727;1
1789419905727;0
1789419905747;1
1789419905748;0
1789419905768;1
1789419905768;0
1789419906327;1
1789419906327;0
1789419906488;1
1789419906488;0
1789419906507;1
1789419906509;0
1789419906687;1
1789419906687;0
1789419906728;1
1789419906728;0
1789419906747;1
1789419906748;0
1789419906788;1
1789419906788;0
1789419906806;1
1789419906807;0
1789419906827;1
1789419906827;0
1789419906868;1
1789419906868;0
1789419906887;1
1789419906888;0
1789419907068;1
1789419907068;0
1789419907102;1
1789419907102;0
1789419907129;1
1789419907129;0
1789419907167;1
1789419907167;0
1789419907177;1
1789419907186;0
1789419907208;1
1789419907208;0
1789419907287;1
1789419907287;0
1789419907487;1
1789419907487;0
1789419907507;1
1789419907507;0
1789419907608;1
1789419907608;0
1789419907687;1
1789419907687;0
1789419907707;1
1789419907707;0
1789419907858;1
1789419907858;0
1789419907887;1
1789419907887;0
1789419907988;1
1789419907988;0
1789419908108;1
1789419908108;0
1789419908127;1
1789419908127;0
1789419908147;1
1789419908147;0
1789419908168;1
1789419908168;0
1789419908596;1
1789419908596;0
1789419908629;1
1789419908629;0
1789419908646;1
1789419908651;0
1789419908947;1
1789419908947;0
1789419908959;1
1789419908972;0
1789419909188;1
1789419909188;0
1789419909248;1
1789419909248;0
1789419909259;1
1789419909259;0
1789419909277;1
1789419909277;0
1789419909301;1
1789419909301;0
1789419909345;1
1789419909345;0
1789419909567;1
1789419909567;0
1789419909626;1
1789419909626;0
1789419909647;1
1789419909647;0
1789419909667;1
1789419909667;0
1789419909684;1
1789419909684;0
1789419909709;1
1789419909709;0
1789419909755;1
1789419909755;0
1789419909790;1
1789419909790;0
1789419910507;1
1789419910507;0
1789419910727;1
1789419910727;0
1789419910748;1
1789419910748;0
1789419910907;1
1789419910907;0
1789419910917;1
1789419910930;0
1789419910948;1
1789419910948;0
1789419910957;1
1789419910957;0
1789419910987;1
1789419910987;0
1789419911001;1
1789419911001;0
1789419911048;1
1789419911048;0
1789419911061;1
1789419911073;0
1789419911267;1
1789419911267;0
1789419911431;1
1789419911431;0
1789419911446;1
1789419911453;0
1789419911459;1
1789419911459;0
1789419911787;1
1789419911787;0
1789419912027;1
1789419912027;0
1789419912046;1
1789419912046;0
1789419912068;1
1789419912068;0
1789419912107;1
1789419912107;0
1789419912128;1
1789419912128;0
1789419912147;1
1789419912147;0
1789419912417;1
1789419912417;0
1789419912448;1
1789419912448;0
1789419912547;1
1789419912547;0
1789419912607;1
1789419912607;0
1789419912746;1
1789419912746;0
1789419912784;1
1789419912784;0
1789419912809;1
1789419912809;0
1789419912826;1
1789419912831;0
1789419912987;1
1789419912987;0
1789419913188;1
1789419913188;0
1789419913207;1
1789419913207;0
1789419913427;1
1789419913427;0
1789419913448;1
1789419913448;0
1789419913467;1
1789419913467;0
1789419913487;1
1789419913487;0
1789419913525;1
1789419913525;0
1789419913688;1
1789419913688;0
1789419913705;1
1789419913706;0
1789419913720;1
1789419913721;0
1789419913767;1
1789419913767;0
1789419913797;1
1789419913805;0
1789419913816;1
1789419913816;0
1789419913841;1
1789419913841;0
1789419913859;1
1789419913859;0
1789419914127;1
1789419914127;0
1789419914387;1
1789419914387;0
1789419914407;1
1789419914407;0
1789419914427;1
1789419914428;0
1789419914447;1
1789419914447;0
1789419915048;1
1789419915048;0
1789419915087;1
1789419915087;0
1789419915107;1
1789419915107;0
1789419915324;1
1789419915324;0
1789419915347;1
1789419915347;0
1789419915368;1
1789419915368;0
1789419915387;1
1789419915387;0
1789419915527;1
1789419915527;0
1789419915547;1
1789419915547;0
1789419915568;1
1789419915568;0
1789419915847;1
1789419915847;0
1789419915868;1
1789419915868;0
1789419915886;1
1789419915886;0
1789419915963;1
1789419915963;0
1789419916227;1
1789419916227;0
1789419916246;1
1789419916246;0
1789419916404;1
1789419916404;0
1789419916539;1
1789419916539;0
1789419916566;1
1789419916575;0
1789419916665;1
1789419916665;0
1789419916689;1
1789419916689;0
1789419916697;1
1789419916697;0
1789419916728;1
1789419916728;0
1789419917209;1
1789419917209;0
1789419917423;1
1789419917423;0
1789419917449;1
1789419917449;0
1789419917459;1
1789419917459;0
1789419917867;1
1789419917867;0
1789419917947;1
1789419917947;0
1789419918067;1
1789419918067;0
1789419918087;1
1789419918093;0
1789419918267;1
1789419918267;0
1789419918277;1
1789419918277;0
1789419918327;1
1789419918327;0
1789419918684;1
1789419918684;0
1789419918827;1
1789419918827;0
1789419918868;1
1789419918868;0
1789419919128;1
1789419919128;0
1789419919147;1
1789419919154;0
1789419919167;1
1789419919167;0
1789419919183;1
1789419919183;0
1789419919407;1
1789419919407;0
1789419919428;1
1789419919429;0
1789419919507;1
1789419919507;0
1789419919522;1
1789419919536;0
1789419919548;1
1789419919548;0
1789419919567;1
1789419919567;0
1789419919832;1
1789419919832;0
1789419920026;1
1789419920026;0
1789419920043;1
1789419920047;0
1789419920576;1
1789419920576;0
1789419920609;1
1789419920609;0
1789419920648;1
1789419920648;0
1789419920666;1
1789419920667;0
1789419920687;1
1789419920687;0
1789419920707;1
1789419920707;0
1789419920747;1
1789419920747;0
1789419920827;1
1789419920827;0
1789419921227;1
1789419921227;0
1789419921247;1
1789419921247;0
1789419921268;1
1789419921268;0
1789419921387;1
1789419921387;0
1789419921607;1
1789419921607;0
1789419921628;1
1789419921628;0
1789419921647;1
1789419921647;0
1789419922047;1
1789419922047;0
1789419922728;1
1789419922728;0
1789419922747;1
1789419922747;0
1789419922767;1
1789419922767;0
1789419922788;1
1789419922788;0
1789419922887;1
1789419922887;0
1789419923107;1
1789419923107;0
1789419923128;1
1789419923128;0
1789419923147;1
1789419923147;0
1789419923167;1
1789419923167;0
1789419923188;1
1789419923188;0
1789419923507;1
1789419923507;0
1789419923526;1
1789419923527;0
1789419923547;1
1789419923547;0
1789419923766;1
1789419923767;0
1789419923887;1
1789419923887;0
1789419923896;1
1789419923905;0
1789419923929;1
1789419923929;0
1789419923967;1
1789419923967;0
1789419923987;1
1789419923987;0
1789419924047;1
1789419924047;0
1789419924347;1
1789419924347;0
1789419924356;1
1789419924366;0
1789419924446;1
1789419924446;0
1789419924460;1
1789419924467;0
1789419924475;1
1789419924486;0
1789419924509;1
1789419924509;0
1789419924584;1
1789419924584;0
1789419924606;1
1789419924606;0
1789419924758;1
1789419924758;0
1789419924807;1
1789419924807;0
1789419924827;1
1789419924827;0
1789419924848;1
1789419924848;0
1789419924866;1
1789419924866;0
1789419924887;1
1789419924887;0
1789419924906;1
1789419924907;0
1789419924950;1
1789419924950;0
1789419924966;1
1789419924971;0
1789419924985;1
1789419924991;0
1789419925288;1
1789419925288;0
1789419925327;1
1789419925327;0
1789419925488;1
1789419925488;0
1789419925507;1
1789419925507;0
1789419925567;1
1789419925567;0
1789419925587;1
1789419925587;0
1789419925608;1
1789419925608;0
1789419925627;1
1789419925627;0
1789419925647;1
1789419925647;0
1789419925668;1
1789419925668;0
1789419925687;1
1789419925690;0
1789419925842;1
1789419925842;0
1789419925926;1
1789419925926;0
1789419926168;1
1789419926168;0
1789419926187;1
1789419926187;0
1789419926197;1
1789419926197;0
1789419926307;1
1789419926307;0
1789419926327;1
1789419926327;0
1789419926488;1
1789419926488;0
1789419926507;1
1789419926507;0
1789419926707;1
1789419926707;0
1789419926728;1
1789419926728;0
1789419926745;1
1789419926748;0
1789419926756;1
1789419926756;0
1789419926788;1
1789419926788;0
1789419926797;1
1789419926797;0
1789419926868;1
1789419926868;0
1789419926887;1
1789419926887;0
1789419927428;1
1789419927428;0
1789419927687;1
1789419927687;0
1789419927707;1
1789419927707;0
1789419927717;1
1789419927717;0
1789419927967;1
1789419927967;0
1789419928042;1
1789419928043;0
1789419928347;1
1789419928347;0
1789419928356;1
1789419928367;0
1789419928428;1
1789419928428;0
1789419928497;1
1789419928497;0
1789419929107;1
1789419929107;0
1789419929208;1
1789419929208;0
1789419929227;1
1789419929227;0
1789419929247;1
1789419929247;0
1789419929287;1
1789419929287;0
1789419929307;1
1789419929307;0
1789419929367;1
1789419929367;0
1789419929507;1
1789419929507;0
1789419929528;1
1789419929528;0
1789419929547;1
1789419929547;0
1789419929581;1
1789419929581;0
1789419929607;1
1789419929607;0
1789419929627;1
1789419929627;0
1789419929646;1
1789419929646;0
1789419929846;1
1789419929846;0
1789419929886;1
1789419929886;0
1789419930027;1
1789419930027;0
1789419930127;1
1789419930128;0
1789419930227;1
1789419930227;0
1789419930628;1
1789419930628;0
1789419930807;1
1789419930807;0
1789419930817;1
1789419930826;0
1789419930866;1
1789419930866;0
1789419930882;1
1789419930886;0
1789419931277;1
1789419931277;0
1789419931308;1
1789419931308;0
1789419931325;1
1789419931325;0
1789419931338;1
1789419931347;0
1789419931407;1
1789419931407;0
1789419931667;1
1789419931667;0
1789419931688;1
1789419931688;0
1789419931707;1
1789419931707;0
1789419931727;1
1789419931727;0
1789419931741;1
1789419931749;0
1789419931787;1
1789419931787;0
1789419931979;1
1789419931979;0
1789419932015;1
1789419932015;0
1789419932319;1
1789419932319;0
1789419932347;1
1789419932347;0
1789419932508;1
1789419932508;0
1789419932568;1
1789419932568;0
1789419932587;1
1789419932587;0
1789419932987;1
1789419932987;0
1789419933008;1
1789419933008;0
1789419933027;1
1789419933027;0
1789419933047;1
1789419933047;0
1789419933368;1
1789419933368;0
1789419933387;1
1789419933387;0
1789419933404;1
1789419933407;0
1789419933428;1
1789419933428;0
1789419933647;1
1789419933647;0
1789419933667;1
1789419933670;0
1789419933707;1
1789419933707;0
1789419933727;1
1789419933728;0
1789419933887;1
1789419933887;0
1789419934088;1
1789419934088;0
1789419934100;1
1789419934107;0
1789419934130;1
1789419934130;0
1789419934221;1
1789419934221;0
1789419934247;1
1789419934247;0
1789419934277;1
1789419934277;0
1789419934447;1
1789419934447;0
1789419934463;1
1789419934467;0
1789419934488;1
1789419934488;0
1789419934517;1
1789419934517;0
1789419934543;1
1789419934543;0
1789419934567;1
1789419934567;0
1789419934808;1
1789419934808;0
1789419934838;1
1789419934838;0
1789419934868;1
1789419934868;0
1789419934903;1
1789419934903;0
1789419934929;1
1789419934929;0
1789419934947;1
1789419934947;0
1789419935348;1
1789419935348;0
1789419935367;1
1789419935368;0
1789419935387;1
1789419935387;0
1789419935606;0
1789419935606;1
1789419935627;1
1789419935627;0
1789419935726;1
1789419935727;0
1789419935748;1
1789419935748;0
1789419935767;1
1789419935767;0
1789419936118;1
1789419936118;0
1789419936147;1
1789419936147;0
1789419936168;1
1789419936168;0
1789419936307;1
1789419936307;0
1789419936607;1
1789419936607;0
1789419936624;1
1789419936625;0
1789419936648;1
1789419936648;0
1789419936666;1
1789419936669;0
1789419936887;1
1789419936887;0
1789419936908;1
1789419936908;0
1789419937445;1
1789419937445;0
1789419937687;1
1789419937687;0
1789419937697;1
1789419937706;0
1789419937836;1
1789419937836;0
1789419937886;1
1789419937886;0
1789419937904;1
1789419937906;0
1789419937927;1
1789419937927;0
1789419937948;1
1789419937948;0
1789419937964;1
1789419937969;0
1789419937988;1
1789419937989;0
1789419938006;1
1789419938006;0
1789419938067;1
1789419938067;0
1789419938206;1
1789419938206;0
1789419938220;1
1789419938228;0
1789419938507;1
1789419938507;0
1789419938527;1
1789419938527;0
1789419938548;1
1789419938548;0
1789419938558;1
1789419938558;0
1789419938609;1
1789419938609;0
1789419938687;1
1789419938687;0
1789419939008;1
1789419939008;0
1789419939068;1
1789419939068;0
1789419939165;1
1789419939165;0
1789419939188;1
1789419939188;0
1789419939267;1
1789419939267;0
1789419939287;1
1789419939287;0
1789419939308;1
1789419939308;0
1789419939326;1
1789419939326;0
1789419939357;1
1789419939357;0
1789419939537;1
1789419939537;0
1789419939568;1
1789419939568;0
1789419939827;1
1789419939827;0
1789419939906;1
1789419939906;0
1789419940107;1
1789419940107;0
1789419940167;1
1789419940167;0
1789419940186;1
1789419940186;0
1789419940381;1
1789419940381;0
1789419940527;1
1789419940527;0
1789419940607;1
1789419940607;0
1789419940623;1
1789419940625;0
1789419940647;1
1789419940647;0
1789419940888;1
1789419940888;0
1789419940928;1
1789419940928;0
1789419940947;1
1789419940948;0
1789419940967;1
1789419940967;0
1789419941066;1
1789419941066;0
1789419941086;1
1789419941086;0
1789419941107;1
1789419941107;0
1789419941148;1
1789419941148;0
1789419941287;1
1789419941287;0
1789419941347;1
1789419941347;0
1789419941667;1
1789419941667;0
1789419941828;1
1789419941828;0
1789419941847;1
1789419941848;0
1789419941887;1
1789419941887;0
1789419941898;1
1789419941906;0
1789419942042;1
1789419942042;0
1789419942387;1
1789419942388;0
1789419942788;1
1789419942788;0
1789419942807;1
1789419942807;0
1789419943189;1
1789419943189;0
1789419943246;1
1789419943246;0
1789419943338;1
1789419943338;0
1789419943357;1
1789419943360;0
1789419943647;1
1789419943647;0
1789419943667;1
1789419943667;0
1789419943688;1
1789419943688;0
1789419943787;1
1789419943787;0
1789419943827;1
1789419943827;0
1789419943843;1
1789419943847;0
1789419943866;1
1789419943868;0
1789419943888;1
1789419943888;0
1789419943927;1
1789419943927;0
1789419943967;1
1789419943967;0
1789419943987;1
1789419943987;0
1789419944107;1
1789419944107;0
1789419944119;1
1789419944127;0
1789419944167;1
1789419944167;0
1789419944181;1
1789419944187;0
1789419944277;1
1789419944277;0
1789419944387;1
1789419944387;0
1789419944584;1
1789419944584;0
1789419944606;1
1789419944606;0
1789419944627;1
1789419944627;0
1789419944647;1
1789419944647;0
1789419944767;1
1789419944767;0
1789419944837;1
1789419944837;0
1789419944868;1
1789419944868;0
1789419944887;1
1789419944890;0
1789419944907;1
1789419944910;0
1789419945147;1
1789419945147;0
1789419945247;1
1789419945248;0
1789419945267;1
1789419945268;0
1789419945337;1
1789419945337;0
1789419945368;1
1789419945368;0
1789419945387;1
1789419945388;0
1789419945403;1
1789419945403;0
1789419945667;1
1789419945667;0
1789419945710;1
1789419945710;0
1789419945717;1
1789419945730;0
1789419945742;1
1789419945750;0
1789419945767;1
1789419945767;0
1789419945788;1
1789419945788;0
1789419945927;1
1789419945927;0
1789419945948;1
1789419945948;0
1789419945967;1
1789419945967;0
1789419945977;1
1789419945977;0
1789419946047;1
1789419946047;0
1789419946208;1
1789419946208;0
1789419946227;1
1789419946227;0
1789419946427;1
1789419946427;0
1789419946445;1
1789419946447;0
1789419946798;1
1789419946798;0
1789419946827;1
1789419946827;0
1789419946847;1
1789419946847;0
1789419946957;1
1789419946957;0
1789419947067;1
1789419947067;0
1789419947087;1
1789419947087;0
1789419947108;1
1789419947108;0
1789419947207;1
1789419947207;0
1789419947348;1
1789419947348;0
1789419947947;1
1789419947947;0
1789419947987;1
1789419947987;0
1789419948328;1
1789419948328;0
1789419948528;1
1789419948528;0
1789419948547;1
1789419948548;0
1789419948588;1
1789419948588;0
1789419948602;1
1789419948605;0
1789419948629;1
1789419948629;0
1789419948636;1
1789419948651;0
1789419948748;1
1789419948748;0
1789419949047;1
1789419949047;0
1789419949068;1
1789419949068;0
1789419949087;1
1789419949087;0
1789419949127;1
1789419949127;0
1789419949428;1
1789419949428;0
1789419949447;1
1789419949447;0
1789419949467;1
1789419949467;0
1789419949788;1
1789419949788;0
1789419949806;1
1789419949810;0
1789419949826;1
1789419949830;0
1789419949846;1
1789419949850;0
1789419949887;1
1789419949887;0
1789419949906;1
1789419949906;0
1789419949924;1
1789419949926;0
1789419949947;1
1789419949947;0
1789419949967;1
1789419949967;0
1789419950290;1
1789419950290;0
1789419950305;1
1789419950310;0
1789419950327;1
1789419950329;0
1789419950347;1
1789419950347;0
1789419950406;1
1789419950406;0
1789419950488;1
1789419950488;0
1789419950506;1
1789419950507;0
1789419950527;1
1789419950527;0
1789419950604;1
1789419950604;0
1789419950617;1
1789419950623;0
1789419950647;1
1789419950647;0
1789419950986;1
1789419950986;0
1789419951007;1
1789419951007;0
1789419951046;1
1789419951047;0
1789419951068;1
1789419951068;0
1789419951087;1
1789419951087;0
1789419951107;1
1789419951107;0
1789419951167;1
1789419951167;0
1789419951227;1
1789419951227;0
1789419951248;1
1789419951248;0
1789419951267;1
1789419951268;0
1789419951287;1
1789419951287;0
1789419951366;1
1789419951366;0
1789419951687;1
1789419951687;0
1789419951810;1
1789419951810;0
1789419951816;1
1789419951829;0
1789419951847;1
1789419951847;0
1789419951867;1
1789419951867;0
1789419951946;1
1789419951947;0
1789419951968;1
1789419951968;0
1789419952068;1
1789419952068;0
1789419953117;1
1789419953117;0
