timestamp;queue_length
1789419967884;0
1789419967883;1
1789419967983;1
1789419967983;0
1789419968061;1
1789419968061;0
1789419968072;1
1789419968084;0
1789419968091;1
1789419968103;0
1789419968132;1
1789419968132;0
1789419968182;1
1789419968182;0
1789419968203;1
1789419968203;0
1789419968222;1
1789419968222;0
1789419968242;1
1789419968242;0
1789419968263;1
1789419968263;0
1789419968363;1
1789419968363;0
1789419968522;1
1789419968522;0
1789419968701;1
1789419968701;0
1789419968713;1
1789419968722;0
1789419968881;1
1789419968881;0
1789419969221;1
1789419969221;0
1789419969235;1
1789419969241;0
1789419969252;1
1789419969260;0
1789419969802;1
1789419969802;0
1789419970463;1
1789419970463;0
1789419970482;1
1789419970485;0
1789419970492;1
1789419970505;0
1789419970520;1
1789419970525;0
1789419970643;1
1789419970643;0
1789419970722;1
1789419970722;0
1789419970843;1
1789419970843;0
1789419970862;1
1789419970864;0
1789419970872;1
1789419970883;0
1789419970903;1
1789419970903;0
1789419971103;1
1789419971103;0
1789419971221;1
1789419971221;0
1789419971242;1
1789419971242;0
1789419971262;1
1789419971262;0
1789419971283;1
1789419971283;0
1789419971942;1
1789419971942;0
1789419972542;1
1789419972542;0
1789419973193;1
1789419973193;0
1789419973373;1
1789419973373;0
1789419973454;1
1789419973454;0
1789419973602;1
1789419973602;0
1789419974462;1
1789419974462;0
1789419974468;1
1789419974489;0
1789419974497;1
1789419974512;0
1789419974902;1
1789419974902;0
1789419975022;1
1789419975022;0
1789419975034;1
1789419975044;0
1789419975061;1
1789419975061;0
1789419975082;1
1789419975082;0
1789419975202;1
1789419975202;0
1789419976063;1
1789419976063;0
1789419976082;1
1789419976083;0
1789419976243;1
1789419976243;0
1789419976802;1
1789419976802;0
1789419977037;1
1789419977037;0
1789419977879;1
1789419977879;0
1789419977903;1
1789419977908;0
1789419977919;1
1789419977930;0
1789419978041;1
1789419978042;0
1789419978621;1
1789419978621;0
1789419979923;1
1789419979923;0
1789419980221;1
1789419980221;0
1789419980482;1
1789419980482;0
1789419980502;1
1789419980504;0
1789419981572;1
1789419981572;0
1789419982043;1
1789419982043;0
1789419983172;1
1789419983172;0
1789419983463;1
1789419983463;0
1789419983478;1
1789419983481;0
