1790263062234,1
1790263062241,1
1790263062242,1
1790263062262,2
1790263062399,3
1790263062523,2
1790263062598,3
1790263062616,4
1790263062620,3
1790263062676,2
1790263062701,3
1790263062721,4
1790263062735,3
1790263062741,4
1790263062761,5
1790263062821,4
1790263062884,3
1790263062902,4
1790263062926,5
1790263062952,6
1790263062979,5
1790263063036,4
1790263063099,3
1790263063162,2
1790263063227,1
1790263063283,0
1790263063373,1
1790263063374,0
1790263063393,1
1790263063414,2
1790263063421,1
1790263063475,0
1790263063994,1
1790263063995,0
1790263064159,1
1790263064170,0
1790263064184,1
1790263064269,0
1790263064366,1
1790263064367,0
1790263064407,1
1790263064421,0
1790263064430,1
1790263064469,0
1790263064470,1
1790263064489,2
1790263064509,3
1790263064512,2
1790263064551,3
1790263064562,2
1790263064571,3
1790263064612,2
1790263064652,1
1790263064717,0
1790263064759,1
1790263064763,0
1790263064799,1
1790263064817,0
1790263064823,1
1790263064861,2
1790263064864,1
1790263064881,2
1790263064900,3
1790263064916,2
1790263064969,1
1790263064981,2
1790263065024,1
1790263065064,0
1790263065186,1
1790263065188,0
1790263065210,1
1790263065239,0
1790263065316,1
1790263065317,0
1790263065399,1
1790263065399,0
1790263065420,1
1790263065440,0
1790263065586,1
1790263065587,0
1790263065608,1
1790263065627,0
1790263065715,1
1790263065716,0
1790263065842,1
1790263065846,0
1790263065861,1
1790263065882,2
1790263065893,1
1790263065906,2
1790263065940,1
1790263065997,0
1790263066383,1
1790263066385,0
1790263066403,1
1790263066426,0
1790263066714,1
1790263066715,0
1790263066734,1
1790263066782,0
1790263066962,1
1790263066963,0
1790263067027,1
1790263067028,0
1790263067047,1
1790263067068,2
1790263067076,1
1790263067088,2
1790263067119,1
1790263067128,2
1790263067175,1
1790263067230,0
1790263067353,1
1790263067355,0
1790263067415,1
1790263067416,0
1790263067435,1
1790263067456,2
1790263067460,1
1790263067476,2
1790263067496,3
1790263067501,2
1790263067546,1
1790263067556,2
1790263067577,3
1790263067585,2
1790263067638,1
1790263067685,0
1790263068326,1
1790263068328,0
1790263068579,1
1790263068581,0
1790263068743,1
1790263068745,0
1790263068769,1
1790263068786,2
1790263068812,3
1790263068832,4
1790263068853,5
1790263068885,4
1790263068924,5
1790263068928,6
1790263068951,5
1790263069023,4
1790263069075,3
1790263069118,4
1790263069172,3
1790263069228,2
1790263069283,3
1790263069290,2
1790263069304,3
1790263069324,4
1790263069336,3
1790263069385,2
1790263069425,1
1790263069472,0
1790263069653,1
1790263069654,0
1790263070726,1
1790263070958,2
1790263071018,4
1790263071046,5
1790263071070,5
1790263071175,6
1790263071322,7
1790263071409,8
1790263071554,7
1790263071612,8
1790263071675,9
1790263071795,8
1790263071854,9
1790263071900,8
1790263071916,9
1790263071940,10
1790263072001,9
1790263072083,8
1790263072100,9
1790263072158,8
1790263072237,7
1790263072297,6
1790263072310,7
1790263072333,8
1790263072357,7
1790263072409,6
1790263072465,5
1790263072518,4
1790263072557,5
1790263072574,4
1790263072575,5
1790263072594,6
1790263072616,7
1790263072637,6
1790263072654,7
1790263072678,6
