1790263581784,1
1790263581790,1
1790263581793,1
1790263581883,2
1790263581928,3
1790263581951,4
1790263582135,3
1790263582268,4
1790263582272,3
1790263582364,2
1790263582367,1
1790263582368,0
1790263582800,1
1790263582801,0
1790263583004,1
1790263583011,0
1790263583026,1
1790263583029,0
1790263583121,1
1790263583125,0
1790263583288,1
1790263583289,0
1790263583328,1
1790263583361,2
1790263583395,3
1790263583411,4
1790263583440,3
1790263583488,4
1790263583495,5
1790263583505,4
1790263583507,3
1790263583508,2
1790263583510,1
1790263583520,2
1790263583540,3
1790263583560,4
1790263583576,3
1790263583582,4
1790263583625,3
1790263583626,2
1790263583666,1
1790263583667,0
1790263583702,1
1790263583703,0
1790263583805,1
1790263583806,0
1790263583989,1
1790263583989,0
1790263584051,1
1790263584051,0
1790263584194,1
1790263584194,0
1790263584318,1
1790263584319,0
1790263584338,1
1790263584359,2
1790263584386,1
1790263584387,0
1790263584842,1
1790263584845,0
1790263584987,1
1790263584988,0
1790263585251,1
1790263585252,0
1790263585275,1
1790263585296,0
1790263585627,1
1790263585628,0
1790263585797,1
1790263585798,0
1790263585880,1
1790263585880,0
1790263586276,1
1790263586277,0
1790263586358,1
1790263586359,0
1790263586379,1
1790263586399,2
1790263586401,1
1790263586418,2
1790263586445,1
1790263586445,0
1790263586482,1
1790263586497,0
1790263586503,1
1790263586504,0
1790263586526,1
1790263586527,0
1790263586545,1
1790263586545,0
1790263586838,1
1790263586838,0
1790263586878,1
1790263586892,0
1790263586898,1
1790263586919,2
1790263586933,1
1790263586934,0
1790263586940,1
1790263586941,0
1790263587413,1
1790263587414,0
1790263587432,1
1790263587454,0
1790263587558,1
1790263587559,0
1790263587580,1
1790263587607,0
1790263587642,1
1790263587643,0
1790263587788,1
1790263587789,0
1790263587850,1
1790263587851,0
1790263587957,1
1790263587958,0
1790263587978,1
1790263588007,0
1790263588018,1
1790263588019,0
1790263588061,1
1790263588067,0
1790263588081,1
1790263588081,0
1790263588101,1
1790263588102,0
1790263588127,1
1790263588127,0
1790263588182,1
1790263588183,0
1790263588267,1
1790263588268,0
1790263588285,1
1790263588309,0
1790263588309,1
1790263588310,0
1790263588327,1
1790263588327,0
1790263588349,1
1790263588350,0
1790263588372,1
1790263588373,0
1790263588411,1
1790263588412,0
1790263588727,1
1790263588728,0
1790263588972,1
1790263588973,0
1790263589200,1
1790263589201,0
1790263589757,1
1790263589758,0
1790263589780,1
1790263589780,0
1790263589797,1
1790263589828,0
1790263589841,1
1790263589841,0
1790263589861,1
1790263589886,2
1790263589893,1
1790263589894,0
1790263589967,1
1790263589968,0
1790263590132,1
1790263590133,0
1790263590212,1
1790263590213,0
1790263590294,1
1790263590295,0
1790263590419,1
1790263590420,0
1790263590441,1
1790263590442,0
1790263590463,1
1790263590463,0
1790263590483,1
1790263590483,0
1790263590794,1
1790263590795,0
1790263591002,1
1790263591002,0
1790263591022,1
1790263591044,2
1790263591047,1
1790263591065,2
1790263591089,1
1790263591090,0
1790263591110,1
1790263591110,0
1790263591127,1
1790263591156,0
1790263591319,1
1790263591319,0
1790263591423,1
1790263591426,0
1790263591442,1
1790263591443,0
1790263591465,1
1790263591466,0
1790263591755,1
1790263591756,0
1790263591775,1
1790263591776,0
1790263591820,1
1790263591820,0
1790263591838,1
1790263591838,0
1790263591858,1
1790263591858,0
1790263591985,1
1790263591986,0
1790263592112,1
1790263592112,0
1790263592408,1
1790263592409,0
1790263592427,1
1790263592428,0
1790263592448,1
1790263592449,0
1790263592469,1
1790263592469,0
1790263592489,1
1790263592490,0
1790263592531,1
1790263592532,0
1790263592750,1
1790263592751,0
1790263592939,1
1790263592940,0
1790263592961,1
1790263592961,0
1790263592980,1
1790263592981,0
1790263593107,1
1790263593108,0
1790263593127,1
1790263593127,0
1790263593167,1
1790263593168,0
1790263593333,1
1790263593334,0
1790263593415,1
1790263593416,0
1790263593436,1
1790263593456,2
1790263593464,1
1790263593465,0
1790263593478,1
1790263593479,0
1790263593691,1
1790263593692,0
1790263593754,1
1790263593755,0
1790263593774,1
1790263593810,0
1790263593877,0
1790263593878,0
1790263593981,1
1790263593982,0
1790263594126,1
1790263594127,0
1790263594292,1
1790263594293,0
1790263594312,1
1790263594313,0
1790263594477,1
1790263594477,0
1790263594498,1
1790263594518,0
1790263594909,1
1790263594910,0
1790263595175,1
1790263595175,0
1790263595195,1
1790263595216,2
1790263595222,1
1790263595223,0
1790263595239,1
1790263595239,0
1790263595280,1
1790263595280,0
1790263595362,1
1790263595363,0
1790263595382,1
1790263595383,0
1790263595402,1
1790263595423,2
1790263595427,1
1790263595428,0
1790263595465,1
1790263595466,0
1790263595486,1
1790263595510,0
